"_","Id","Name","BillingStreet","BillingCity","BillingCountry","Email__c","Phone","Owner","Owner.Alias"
"[Account]","0011U00001n7ODSQA2","Abu Dhabi - IRCC Visa Office","","Abu Dhabi","United Arab Emirates","","","[User]","mmartin"
"[Account]","0011U00001n7OC1QAM","Accra - IRCC Visa Office","","Accra","Ghana","accraimmigration@international.gc.ca","","[User]","mmartin"
"[Account]","0011U00001n7ODTQA2","Amman - IRCC Visa Office","","Amman","Jordan","amman.immigration@international.gc.ca","","[User]","mmartin"
"[Account]","0011U00001n7OC2QAM","Ankara - IRCC Visa Office","","Ankara","Turkey","ankraimmigration@international.gc.ca","","[User]","mmartin"
"[Account]","0011U00001n7OC3QAM","Beirut - IRCC Visa Office","","Beirut","Lebanon","beirutmigration@international.gc.ca","","[User]","mmartin"
"[Account]","0011U00001n7OC4QAM","Cairo - IRCC Visa Office","","Cairo","Egypt","cairoimmigration@international.gc.ca","","[User]","mmartin"
"[Account]","0011U00001n7OC5QAM","Colombo - IRCC Visa Office","","Colombo","Sri Lanka","colombo-im-enquiry@international.gc.ca","","[User]","mmartin"
"[Account]","0011U00001n7ODUQA2","Dar es Salaam - IRCC Visa Office","","Dar es Salaam","Tanzania, United Republic of","dslam-immigration-enquiry@international.gc.ca","","[User]","mmartin"
"[Account]","0011U00001lYdDMQA0","IRCC - National Office","","Ottowa","Canada","","","[User]","mmartin"
"[Account]","0011U00001n7OC6QAM","Islamabad - IRCC Visa Office","","Islamabad","Pakistan","","","[User]","mmartin"
"[Account]","0011U00001n7OC7QAM","Jal el Dib - IRCC Visa Office","","Jal el Dib","Lebanon","","","[User]","mmartin"
"[Account]","0011U00001n7ODVQA2","London - IRCC Visa Office","","London","United Kingdom","","","[User]","mmartin"
"[Account]","0011U00001n7OC8QAM","Nairobi - IRCC Visa Office","","Nairobi","Kenya","nrobi-immigration@international.gc.ca","","[User]","mmartin"
"[Account]","0011U00001n7OC9QAM","New Delhi - IRCC Visa Office","","New Delhi","India","delhiimmigration@international.gc.ca","","[User]","mmartin"
"[Account]","0011U00001n7OCAQA2","Paris - IRCC Visa Office","","Paris","France","","","[User]","mmartin"
"[Account]","0011U00001n7OCBQA2","Rome - IRCC Visa Office","","Rome","Italy","romevisa@international.gc.ca","","[User]","mmartin"
"[Account]","0011U00001n7OCCQA2","Singapore - IRCC Visa Office","","Singapore","Singapore","singapore-im-enquiry@international.gc.ca","","[User]","mmartin"
"[Account]","0011U00001n7OCDQA2","Tel Aviv - IRCC Visa Office","","Tel Aviv","Israel","taviv-immigration@international.gc.ca","","[User]","mmartin"
"[Account]","0011U00001n7OCEQA2","Vienna - IRCC Visa Office","","Vienna","Austria","","","[User]","mmartin"
